HoodID,HoodName,CrimesIn2014,CrimesIn2015,CrimesIn2016,CrimesIn2017,CrimesIn2018,CrimesIn2019,CrimesIn2020,CrimesIn2021
97,Yonge-St.Clair,70,65,75,53,85,101,87,130
27,York University Heights,723,792,822,836,891,922,1005,922
38,Lansing-Westgate,132,171,184,210,238,237,294,233
31,Yorkdale-Glen Park,379,363,399,421,485,540,529,485
16,Stonegate-Queensway,321,232,208,271,270,284,310,259
118,Tam O'Shanter-Sullivan,271,279,260,304,318,297,303,270
63,The Beaches,242,287,253,278,288,242,251,231
3,Thistletown-Beaumond Heights,143,175,138,144,164,196,180,161
55,Thorncliffe Park,186,175,174,174,171,215,203,219
59,Danforth East York,167,163,145,141,161,218,180,166
106,Humewood-Cedarvale,168,165,143,147,169,150,189,141
14,Islington-City Centre West,721,763,688,666,787,783,760,731
66,Danforth,219,249,185,180,231,247,194,243
28,Rustic,121,143,138,118,160,161,150,119
139,Scarborough Village,322,277,305,280,316,326,349,254
85,South Parkdale,340,366,410,424,387,465,416,423
70,South Riverdale,596,528,629,588,649,640,592,590
40,St.Andrew-Windfields,240,218,188,192,204,262,205,220
61,Taylor-Massey,233,270,207,196,229,263,256,229
21,Humber Summit,325,299,352,384,428,451,387,421
22,Humbermede,239,263,241,299,289,362,279,290
133,Centennial Scarborough,119,77,133,134,109,137,109,107
75,Church-Yonge Corridor,1164,1116,1161,1435,1547,1812,1480,1654
120,Clairlea-Birchmount,569,555,540,548,580,600,443,497
123,Cliffcrest,213,254,269,284,299,342,288,250
44,Flemingdon Park,339,220,255,192,214,217,201,221
92,Corso Italia-Davenport,165,177,154,198,197,229,212,201
125,Ionview,179,221,157,165,148,154,144,166
90,Junction Area,212,218,210,229,331,246,259,233
57,Broadview North,92,115,107,105,99,130,135,114
10,Princess-Rosethorn,187,144,175,113,112,143,105,99
68,North Riverdale,155,190,185,155,158,214,130,138
13,Etobicoke West Mall,115,135,102,94,103,111,140,98
102,Forest Hill North,128,110,81,152,155,164,208,130
25,Glenfield-Jane Heights,501,495,580,504,562,622,691,601
65,Greenwood-Coxwell,241,276,252,185,266,316,315,242
140,Guildwood,106,125,106,113,99,80,88,95
81,Trinity-Bellwoods,348,276,283,317,294,335,269,251
43,Victoria Village,220,249,225,176,220,264,227,245
77,Waterfront Communities-The Island,1435,1459,1476,1585,1719,1669,1682,1799
136,West Hill,589,619,664,720,696,712,632,665
1,West Humber-Clairville,1249,1102,1124,1165,1544,1391,1281,1320
35,Westminster-Branson,276,244,222,226,269,244,251,252
124,Kennedy Park,396,407,338,406,411,389,349,350
6,Kingsview Village-The Westway,326,303,307,262,274,226,255,318
49,Bayview Woods-Steeles,107,100,105,108,119,123,120,97
33,Clanton Park,254,204,199,226,257,258,256,304
