OBJECTID,HoodName,HoodID,F2021_Population_Projection,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_2020,Assault_2021,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_2020,AutoTheft_2021,BreakAndEnter_2014,BreakAndEnter_2015,BreakAndEnter_2016,BreakAndEnter_2017,BreakAndEnter_2018,BreakAndEnter_2019,BreakAndEnter_2020,BreakAndEnter_2021,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_2020,Robbery_2021,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_2020,TheftOver_2021,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_2020,Homicide_2021,Shootings_2014,Shootings_2015,Shootings_2016,Shootings_2017,Shootings_2018,Shootings_2019,Shootings_2020,Shootings_2021,TheftfromMotorVehicle_2014,TheftfromMotorVehicle_2015,TheftfromMotorVehicle_2016,TheftfromMotorVehicle_2017,TheftfromMotorVehicle_2018,TheftfromMotorVehicle_2019,TheftfromMotorVehicle_2020,TheftfromMotorVehicle_2021
1,Yonge-St.Clair,97,14362,16,25,34,25,28,35,23,55,2,3,7,2,6,6,9,14,37,20,12,18,24,28,27,30,4,1,6,1,1,4,5,5,3,5,7,0,3,6,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,11,8,7,23,22,20,23
2,York University Heights,27,30660,273,298,363,351,362,382,348,339,109,100,109,91,92,147,187,172,108,140,98,105,122,111,105,115,58,85,70,76,94,84,48,40,30,46,38,40,38,31,42,33,1,0,2,0,1,0,1,6,2,0,4,10,8,6,12,13,142,123,138,163,174,161,262,204
3,Lansing-Westgate,38,18577,42,81,67,84,69,70,100,97,18,22,26,27,16,30,46,60,34,27,41,42,50,39,39,16,12,6,6,14,32,12,11,13,4,5,5,11,6,10,9,5,0,0,0,0,11,0,0,0,0,0,1,0,1,2,1,2,22,30,38,32,53,74,88,40
4,Yorkdale-Glen Park,31,18100,106,137,175,163,178,210,157,166,67,53,41,54,64,64,88,92,51,57,66,62,67,90,81,66,23,21,24,34,47,42,40,17,23,15,26,23,20,30,18,21,1,1,1,1,2,1,1,1,3,3,3,7,10,17,14,9,105,76,63,77,97,86,130,113
5,Stonegate-Queensway,16,27838,91,74,78,98,86,83,105,77,38,32,14,34,31,35,48,69,72,45,49,50,39,64,35,30,17,10,13,25,26,24,20,18,8,8,4,6,8,4,5,7,0,0,0,0,0,0,0,1,3,2,0,1,1,1,0,0,92,61,50,57,79,73,97,57
6,Tam O'Shanter-Sullivan,118,30375,103,88,100,120,131,108,131,119,23,19,21,16,31,24,37,56,49,68,62,54,77,67,54,15,27,37,24,27,17,31,18,13,4,7,8,8,3,3,3,5,0,1,0,0,1,2,1,0,0,3,2,2,4,2,2,4,65,56,43,77,54,60,57,58
7,The Beaches,63,23649,88,106,81,114,99,82,88,92,8,24,7,11,29,21,23,31,45,42,77,34,43,58,64,39,18,12,19,48,13,17,6,15,8,5,3,8,6,9,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,75,98,66,63,98,53,60,47
8,Thistletown-Beaumond Heights,3,10982,64,56,46,56,53,75,56,61,10,14,15,22,44,52,43,44,22,23,23,17,16,14,11,8,19,23,15,23,11,10,9,6,1,3,1,4,2,3,5,1,0,0,0,0,2,0,0,0,0,1,2,2,1,3,1,1,27,55,36,20,35,39,55,40
9,Thorncliffe Park,55,23812,86,104,88,98,94,119,97,117,12,12,4,9,12,15,20,16,34,27,24,19,24,28,41,35,16,7,15,9,4,13,5,14,9,6,11,9,4,5,3,0,3,2,1,4,0,0,2,0,1,2,1,2,3,8,9,3,25,15,30,24,30,27,26,34
10,Danforth East York,59,18566,68,55,41,78,79,85,57,60,6,9,12,9,14,9,16,15,31,24,42,25,18,24,33,23,2,7,4,8,10,8,9,5,1,3,4,0,3,8,5,4,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,59,65,42,19,37,83,59,58
11,Humewood-Cedarvale,106,16078,34,47,51,39,44,45,41,48,11,5,17,21,22,16,25,32,30,39,26,39,34,28,49,19,8,10,6,7,4,10,6,3,3,3,5,5,6,3,6,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,82,60,38,34,59,48,62,37
